XLS_RowNumber	CustomerID	Calendarday	month	PerformanceEvaluationPlanned	PerformanceEvaluationExecuted	PerformanceEvaluationAdHoc	TERRID	SAPECCSalesGroup	SAPECoeficient	APECoeficient	FPECoeficient	SAMEDAYVISIT	OVERDUE	UNDERDUE	OK	NOTOK	STATUS	OVERDUEDAYS
6	100000136	2017-05-12	5	 	 	 	Employee 44	Team 1		79.498	90.98700000000001	 	 	 	 	 	 	 
50	100000136	2017-10-10	10	 	 	 	Employee 44	Team 1		90.55	96.0	 	 	 	 	 	 	 
66	100000136	2017-12-02	12	 	 	 	Employee 44	Team 1		70.499	85.275	 	 	 	 	 	 	 
88	100000141	2017-06-09	6	 	 	 	Employee 43	Team 1	50.461999999999996		52.831	 	 	 	 	 	 	 
123	100000142	2017-05-17	5	 	 	 	Employee 42	Team 1		80.935	76.069	 	 	 	 	 	 	 
133	100000142	2017-07-19	7	 	 	 	Employee 42	Team 1		72.38600000000001	79.169	 	 	 	 	 	 	 
164	100000144	2017-06-15	6	 	 	 	Employee 43	Team 1		45.07	30.628	 	 	 	 	 	 	 
175	100000144	2017-08-24	8	 	 	 	Employee 43	Team 1		50.618	30.445999999999998	 	 	 	 	 	 	 
179	100000144	2017-09-14	9	 	 	 	Employee 43	Team 1	30.445999999999998		30.445999999999998	 	 	 	 	 	 	 
185	100000144	2017-10-19	10	 	 	 	Employee 43	Team 1		51.033	33.446	 	 	 	 	 	 	 
209	100000145	2017-06-12	6	 	 	 	Employee 43	Team 1	58.32		58.32	 	 	 	 	 	 	 
235	100000145	2017-08-26	9	 	 	 	Employee 43	Team 1	67.185		62.91	 	 	 	 	 	 	 
251	100000145	2017-10-19	10	 	 	 	Employee 43	Team 1		44.678999999999995	52.196000000000005	 	 	 	 	 	 	 
284	100000146	2017-07-19	7	 	 	 	Employee 41	Team 1		52.245	60.871	 	 	 	 	 	 	 
293	100000146	2017-09-13	9	 	 	 	Employee 41	Team 1		59.413000000000004	60.871	 	 	 	 	 	 	 
303	100000146	2017-11-08	11	 	 	 	Employee 41	Team 1		65.1	64.37100000000001	 	 	 	 	 	 	 
310	100000146	2017-12-13	12	 	 	 	Employee 41	Team 1		51.606	58.795	 	 	 	 	 	 	 
317	100000200	2017-05-11	5	 	 	 	Employee 43	Team 1	80.657		81.532	 	 	 	 	 	 	 
324	100000200	2017-06-15	6	 	 	 	Employee 43	Team 1		77.781	84.88600000000001	 	 	 	 	 	 	 
